institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url,course_scope
SmartMathPro,พิชิตเวกเตอร์,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,20.0,1290.0,64.5,https://online.smartmathpro.com/product/f008/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,พิชิตแคลคูลัส,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,29.0,1790.0,61.72,https://online.smartmathpro.com/product/f013/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม + ตะลุยโจทย์ + Mock Test Vol.1-4),พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,124.0,4150.0,33.47,https://online.smartmathpro.com/product/d043/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตตรรกศาสตร์,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,16.0,850.0,53.12,https://online.smartmathpro.com/product/f002/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,"พิชิต TGAT2,3 (V.เต็ม)","พี่ปั้น SmartMathPro, อ.ขลุ่ย",ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,55.0,1990.0,36.18,https://online.smartmathpro.com/product/l020/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.5 เทอม 1+2 + พิชิตคณิตพื้นฐาน ม.5 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,156.0,6050.0,38.78,https://online.smartmathpro.com/product/e041/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู",ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),คอร์สแพ็กเกจ,วิดีโอออนไลน์,325.0,9450.0,29.08,https://online.smartmathpro.com/product/m123/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต TPAT3 (V.เต็ม),"พี่ปั้น SmartMathPro, พี่ฟาร์ม PhysicsFarm",ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,76.0,2890.0,38.03,https://online.smartmathpro.com/product/r021/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.4 เทอม 1+2,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,140.0,4990.0,35.64,https://online.smartmathpro.com/product/e007/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.4 เทอม 1+2 + พิชิตคณิตพื้นฐาน ม.4,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,160.0,5550.0,34.69,https://online.smartmathpro.com/product/e036/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม) + ภาษาอังกฤษ (V.เต็ม) + ไทย-สังคม (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู, ครูกอล์ฟ",ภาษาไทย-สังคมศึกษา,คอร์สแพ็กเกจ,วิดีโอออนไลน์,496.0,15090.0,30.42,https://online.smartmathpro.com/product/m126/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,"PACK A-Level คณิต 1,2 (V.เต็ม)",พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,290.0,8290.0,28.59,https://online.smartmathpro.com/product/m117/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
