institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url
Panya Society,Pack สอบติด คอร์ส คณิตศาสตร์ ภาษาไทย สังคม และ ภาษาอังกฤษ A-Level,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), สุปิติ บูรณวัฒนาโชค (อ. แชร์), จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), วิษณุ ลือพงศ์พาณิชย์ (อ.ณุ), ตวงรัตน์ แสงโชติ (อ.ตวง)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,8990.0,374.58,https://panyasociety.com/course/preview/135
Panya Society,สอวน. คอมพิวเตอร์โอลิมปิก,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,2990.0,124.58,https://panyasociety.com/course/preview/167
Panya Society,Pack เพิ่มเกรด ม.4 - เคมี,ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท),เคมี,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,3490.0,145.42,https://panyasociety.com/course/preview/170
Panya Society,FAST เคมี A-Level,"ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท)",เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/146
Panya Society,FAST คณิตศาสตร์ A-Level,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/140
Panya Society,ฟิสิกส์ ม.6 เทอม 1 (หลักสูตรใหม่) เรียนสนุก ทำโจทย์คล่อง คะแนนเยี่ยม โดยอาจารย์แชร์,"สุปิติ บูรณวัฒนาโชค (อ.แชร์), สุปิติ บูรณวัฒนาโชค (อ. แชร์)",ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/13
Panya Society,Pack สอบติด คอร์ส คณิตศาสตร์ 2 ภาษาไทย สังคม และ ภาษาอังกฤษ A-Level,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), วิษณุ ลือพงศ์พาณิชย์ (อ.ณุ), ตวงรัตน์ แสงโชติ (อ.ตวง)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,7490.0,312.08,https://panyasociety.com/course/preview/136
Panya Society,Pack เพิ่มเกรด ม.4 - ฟิสิกส์,สุปิติ บูรณวัฒนาโชค (อ. แชร์),ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,3490.0,145.42,https://panyasociety.com/course/preview/169
Panya Society,Pack เพิ่มเกรด ม.4 - คณิตศาสตร์,ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต),คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,3490.0,145.42,https://panyasociety.com/course/preview/171
Panya Society,TCAS BOOSTER สายวิทย์,"สุปิติ บูรณวัฒนาโชค (อ. แชร์), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",อื่นๆ,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),24.0,990.0,41.25,https://panyasociety.com/course/preview/74
